!,"ID for suite of sites or experiments","Name of experiment, field test or survey",Field Overlay (DOME) ID,Seaonal Strategy (DOME) ID,Rotational Analysis (DOME) ID,,Treatment Name,4-character Climate ID code,Climate replication number for multiple realizations of weather data (ask Alex),Region ID,Regional stratum identification number,RAP ID,"Management regimen ID, for multiple management regimens per RAP",Names of institutions involved in collection of field or survey data,"Crop rotation indicator (=1 to indicate that this is a continuous, multi-year simulation, =0 for single year simulations)",Weather station ID,Soil ID,Site Latitude,Site Longitude,Crop type (common name) ,Crop model-specific cultivar ID,Cultivar name,Start of simulation date,Planting date,"Observed harvested yield, dry weight",Observed total above-ground biomass at harvest,Observed harvest date,Total number of irrigation events,Total amount of irrigation,Type of irrigation application,Total number of fertilizer applications,Total N applied,Total P applied,Total K applied,Manure and applied oganic matter,Total number of tillage applications,"Tillage type (hand, animal or mechanized)",Experiment ID,Weather ID,Soil ID,DOME ID for Overlay,DOME ID for Seasonal  ,DOME ID for Rotational ,"Short name of crop model used for simulations (e.g., DSSAT, APSIM, Aquacrop, STICS, etc.)",Model name and version number of the crop model used to generate simulated outputs,"Simulated harvest yield, dry matter","Simulated above-ground biomass at harvest, dry matter",Simulated anthesis date,Simulated maturity date,Simulated harvest date,"Simulated leaf area index, maximum",Total precipitation from planting to harvest,"Simulated evapotranspiration, planting to harvest",Simulated N uptake during season,Simulated N leached up to harvest maturity,"Transpiration, cumulative from planting to harvest","Evaporation,soil, cumulative from planting to harvest"
!,text,text,text,text,text,number,text,code,number,code,number,code,code,text,number,text,text,decimal degrees,decimal degrees,text,text,text,yyyy-mm-dd,yyyy-mm-dd,kg/ha,kg/ha,yyyy-mm-dd,number,mm,text,number,kg[N]/ha,kg[P]/ha,kg[K]/ha,kg/ha,#,text,text,text,text,text,text,text,text,text,kg/ha,kg/ha,yyyy-mm-dd,yyyy-mm-dd,yyyy-mm-dd,m2/m2,mm,mm,kg/ha,kg/ha,mm,mm
#,SUITE_ID,EXNAME,FIELD_OVERLAY,SEASONAL_STRATEGY,ROTATIONAL_ANALYSIS,RUN#,TRT_NAME,CLIM_ID,CLIM_REP,REG_ID,STRATUM,RAP_ID,MAN_ID,INSTITUTION,ROTATION,WST_ID,SOIL_ID,FL_LAT,FL_LONG,CRID_text,CUL_ID,CUL_NAME,SDAT,PDATE,HWAH,CWAH,HDATE,IR#C,IR_TOT,IROP_text,FE_#,FEN_TOT,FEP_TOT,FEK_TOT,OM_TOT,TI_#,TIIMP_text,EID,WID,SID,DOID,DSID,DRID,CROP_MODEL,MODEL_VER,HWAH_S,CWAH_S,ADAT_S,MDAT_S,HADAT_S,LAIX_S,PRCP_S,ETCP_S,NUCM_S,NLCM_S,EPCP_S,ESCP_S
*,,"NIORO001_1","NIORO------SOIL1","","",1,"","0XFX",1,"NIORO","",,,AgMIP,0,DJIG,ITSN840080,13.6758,-15.5780,"Maize",IF0021,"TZEEY-SRBC5",2007-06-11,2007-07-11,800,,2007-09-29,,,"",2,0,0,0,,,"","dfe3edec68cfed0b3d6457deabc4ba045efc23a7a878f0cc237777ea6b234eb7","ebbf5405fa0b30fb3df29fba12c0a7145ccefe08d713ce1dbd2a0689e33584a6","7801c3ac04ad9c7986bca2a78a714d3642bb41161ab4344b5451567d8075bd71","","","",DSSAT,"DSSAT MZCER045 SCSM046.CTR     DSSAT Cropping System Model Ver. 4.5.1.023 -Stub","672","2331","2007-08-22","2007-09-20","2007-09-20","0.6","383.4","261.8","25","9","",""
*,,"NIORO002_1","NIORO------SOIL1","","",1,"","0XFX",1,"NIORO","",,,AgMIP,0,DJIG,ITSN840080,13.6758,-15.5780,"Maize",IF0021,"TZEEY-SRBC5",2007-06-13,2007-07-13,301,,2007-10-01,,,"",2,0,0,0,,,"","137b7d08402a7b773d9229888b1835858519b3d36e4b7b3982e0986b22352dad","ebbf5405fa0b30fb3df29fba12c0a7145ccefe08d713ce1dbd2a0689e33584a6","7801c3ac04ad9c7986bca2a78a714d3642bb41161ab4344b5451567d8075bd71","","","",DSSAT,"DSSAT MZCER045 SCSM046.CTR     DSSAT Cropping System Model Ver. 4.5.1.023 -Stub","639","2257","2007-08-24","2007-09-21","2007-09-21","0.6","401.8","263.6","25","10","",""
*,,"NIORO003_1","NIORO------SOIL1","","",1,"","0XFX",1,"NIORO","",,,AgMIP,0,DJIG,ITSN840080,13.6758,-15.5780,"Maize",IF0021,"TZEEY-SRBC5",2007-06-11,2007-07-11,200,,2007-09-29,,,"",2,32,0,0,,,"","f2394ec0b001db663efde19f8ed46dbc749b206ab0ce77eb5196a5a06678f29a","ebbf5405fa0b30fb3df29fba12c0a7145ccefe08d713ce1dbd2a0689e33584a6","7801c3ac04ad9c7986bca2a78a714d3642bb41161ab4344b5451567d8075bd71","","","",DSSAT,"DSSAT MZCER045 SCSM046.CTR     DSSAT Cropping System Model Ver. 4.5.1.023 -Stub","670","2323","2007-08-22","2007-09-20","2007-09-20","0.6","383.4","260.3","26","11","",""
*,,"NIORO004_1","NIORO------SOIL1","","",1,"","0XFX",1,"NIORO","",,,AgMIP,0,DJIG,ITSN840080,13.6758,-15.5780,"Maize",IF0021,"TZEEY-SRBC5",2007-06-22,2007-07-22,500,,2007-10-10,,,"",2,64,0,0,,,"","28c9829d97a562e941c157b6e8fe1bcf60ae03780253fcff17eca85f6579c624","ebbf5405fa0b30fb3df29fba12c0a7145ccefe08d713ce1dbd2a0689e33584a6","7801c3ac04ad9c7986bca2a78a714d3642bb41161ab4344b5451567d8075bd71","","","",DSSAT,"DSSAT MZCER045 SCSM046.CTR     DSSAT Cropping System Model Ver. 4.5.1.023 -Stub","671","2269","2007-09-03","2007-09-30","2007-09-30","0.6","366.9","258.3","25","12","",""
*,,"NIORO005_1","NIORO------SOIL1","","",1,"","0XFX",1,"NIORO","",,,AgMIP,0,DJIG,ITSN840080,13.6758,-15.5780,"Maize",IF0021,"TZEEY-SRBC5",2007-06-04,2007-07-04,300,,2007-09-22,,,"",2,32,0,0,,,"","23d4cb89d9565b0607378486ee11fa52c8e0ed3996b9bea97c8dce06ea0271db","ebbf5405fa0b30fb3df29fba12c0a7145ccefe08d713ce1dbd2a0689e33584a6","7801c3ac04ad9c7986bca2a78a714d3642bb41161ab4344b5451567d8075bd71","","","",DSSAT,"DSSAT MZCER045 SCSM046.CTR     DSSAT Cropping System Model Ver. 4.5.1.023 -Stub","837","2394","2007-08-14","2007-09-11","2007-09-11","0.6","362.2","229.5","27","9","",""
*,,"NIORO006_1","NIORO------SOIL1","","",1,"","0XFX",1,"NIORO","",,,AgMIP,0,DJIG,ITSN840080,13.6758,-15.5780,"Maize",IF0021,"TZEEY-SRBC5",2007-06-13,2007-07-13,700,,2007-10-01,,,"",2,46,0,0,,,"","4dcbd43f1b75245e68bc9c62481d9d96e4bf99b4a33414b2a0dad462bc2dae9f","ebbf5405fa0b30fb3df29fba12c0a7145ccefe08d713ce1dbd2a0689e33584a6","7801c3ac04ad9c7986bca2a78a714d3642bb41161ab4344b5451567d8075bd71","","","",DSSAT,"DSSAT MZCER045 SCSM046.CTR     DSSAT Cropping System Model Ver. 4.5.1.023 -Stub","638","2254","2007-08-24","2007-09-21","2007-09-21","0.6","401.8","262.1","26","12","",""
*,,"NIORO007_1","NIORO------SOIL1","","",1,"","0XFX",1,"NIORO","",,,AgMIP,0,DJIG,ITSN840080,13.6758,-15.5780,"Maize",IF0021,"TZEEY-SRBC5",2007-06-16,2007-07-16,550,,2007-10-04,,,"",2,0,0,0,,,"","17ad33153c42a67d478d716aa96196f053dc2e35a17860edce1a7f7daab07254","ebbf5405fa0b30fb3df29fba12c0a7145ccefe08d713ce1dbd2a0689e33584a6","7801c3ac04ad9c7986bca2a78a714d3642bb41161ab4344b5451567d8075bd71","","","",DSSAT,"DSSAT MZCER045 SCSM046.CTR     DSSAT Cropping System Model Ver. 4.5.1.023 -Stub","579","2210","2007-08-27","2007-09-24","2007-09-24","0.6","404.8","270.2","25","10","",""
*,,"NIORO008_1","NIORO------SOIL1","","",1,"","0XFX",1,"NIORO","",,,AgMIP,0,DJIG,ITSN840080,13.6758,-15.5780,"Maize",IF0021,"TZEEY-SRBC5",2007-06-08,2007-07-08,100,,2007-09-26,,,"",2,0,0,0,,,"","9ccdda39e99df62024c918c98ad521bb17d8078bf1b090b7b7e641acdb8ffaac","ebbf5405fa0b30fb3df29fba12c0a7145ccefe08d713ce1dbd2a0689e33584a6","7801c3ac04ad9c7986bca2a78a714d3642bb41161ab4344b5451567d8075bd71","","","",DSSAT,"DSSAT MZCER045 SCSM046.CTR     DSSAT Cropping System Model Ver. 4.5.1.023 -Stub","827","2414","2007-08-18","2007-09-15","2007-09-15","0.6","372.1","246.8","26","8","",""
*,,"NIORO009_1","NIORO------SOIL1","","",1,"","0XFX",1,"NIORO","",,,AgMIP,0,DJIG,ITSN840080,13.6758,-15.5780,"Maize",IF0021,"TZEEY-SRBC5",2007-06-18,2007-07-18,100,,2007-10-06,,,"",2,0,0,0,,,"","594a7d6cd1bfc548275fd62299b6274c058f2a99f879c9b0b5676f741e22addf","ebbf5405fa0b30fb3df29fba12c0a7145ccefe08d713ce1dbd2a0689e33584a6","7801c3ac04ad9c7986bca2a78a714d3642bb41161ab4344b5451567d8075bd71","","","",DSSAT,"DSSAT MZCER045 SCSM046.CTR     DSSAT Cropping System Model Ver. 4.5.1.023 -Stub","638","2285","2007-08-29","2007-09-26","2007-09-26","0.6","422.8","275.4","25","10","",""
*,,"NIORO010_1","NIORO------SOIL1","","",1,"","0XFX",1,"NIORO","",,,AgMIP,0,DJIG,ITSN840080,13.6758,-15.5780,"Maize",IF0021,"TZEEY-SRBC5",2007-06-09,2007-07-09,200,,2007-09-27,,,"",2,0,0,0,,,"","8c78e5e4b76ed814e4627e205a17ef93bc1fba540779a305896ed35a1de99fb2","ebbf5405fa0b30fb3df29fba12c0a7145ccefe08d713ce1dbd2a0689e33584a6","7801c3ac04ad9c7986bca2a78a714d3642bb41161ab4344b5451567d8075bd71","","","",DSSAT,"DSSAT MZCER045 SCSM046.CTR     DSSAT Cropping System Model Ver. 4.5.1.023 -Stub","827","2415","2007-08-19","2007-09-16","2007-09-16","0.6","372.1","247.6","27","8","",""
*,,"NIORO011_1","NIORO------SOIL1","","",1,"","0XFX",1,"NIORO","",,,AgMIP,0,DJIG,ITSN840080,13.6758,-15.5780,"Maize",IF0021,"TZEEY-SRBC5",2007-06-15,2007-07-15,200,,2007-10-03,,,"",2,0,0,0,,,"","5515383af8f5427b86d182e94ea451d52bbb7d5d5fe8d5996348683e0b66ce21","ebbf5405fa0b30fb3df29fba12c0a7145ccefe08d713ce1dbd2a0689e33584a6","7801c3ac04ad9c7986bca2a78a714d3642bb41161ab4344b5451567d8075bd71","","","",DSSAT,"DSSAT MZCER045 SCSM046.CTR     DSSAT Cropping System Model Ver. 4.5.1.023 -Stub","605","2264","2007-08-27","2007-09-24","2007-09-24","0.7","404.8","272.3","25","10","",""
*,,"NIORO012_1","NIORO------SOIL1","","",1,"","0XFX",1,"NIORO","",,,AgMIP,0,DJIG,ITSN840080,13.6758,-15.5780,"Maize",IF0021,"TZEEY-SRBC5",2007-06-10,2007-07-10,300,,2007-09-28,,,"",2,0,0,0,,,"","e7661af47120cb509eed3c209388e1b4458fa50c9d60a1f2d537f32725ed68aa","ebbf5405fa0b30fb3df29fba12c0a7145ccefe08d713ce1dbd2a0689e33584a6","7801c3ac04ad9c7986bca2a78a714d3642bb41161ab4344b5451567d8075bd71","","","",DSSAT,"DSSAT MZCER045 SCSM046.CTR     DSSAT Cropping System Model Ver. 4.5.1.023 -Stub","750","2302","2007-08-20","2007-09-17","2007-09-17","0.6","372.1","250.3","25","8","",""
*,,"NIORO013_1","NIORO------SOIL2","","",1,"","0XFX",1,"NIORO","",,,AgMIP,0,MEDI,ITSN840042,13.5861,-15.5782,"Maize",IF0021,"TZEEY-SRBC5",2007-06-06,2007-07-06,150,,2007-09-24,,,"",2,0,0,0,900,,"","a2547e6910c08f072d39ca5c8505692bc67b5a11707339499ffe9658bfaffc6a","1ff80dc567f9b9c7866429cf7f0bb7e0f635634c5550395df0b743ee59528561","4eb704ecd535b72d143060b88494a84726db6c0b071480f6fa52e081724d3966","","","",DSSAT,"DSSAT MZCER045 SCSM046.CTR     DSSAT Cropping System Model Ver. 4.5.1.023 -Stub","610","1711","2007-08-16","2007-09-13","2007-09-13","0.5","365.0","262.0","19","2","",""
*,,"NIORO014_1","NIORO------SOIL2","","",1,"","0XFX",1,"NIORO","",,,AgMIP,0,MEDI,ITSN840042,13.5861,-15.5782,"Maize",IF0021,"TZEEY-SRBC5",2007-06-05,2007-07-05,250,,2007-09-23,,,"",2,0,0,0,,,"","834a759cd5cc7984eaa0864874ec2f4452dba08722ccb8f7f12a7858b64322b7","1ff80dc567f9b9c7866429cf7f0bb7e0f635634c5550395df0b743ee59528561","4eb704ecd535b72d143060b88494a84726db6c0b071480f6fa52e081724d3966","","","",DSSAT,"DSSAT MZCER045 SCSM046.CTR     DSSAT Cropping System Model Ver. 4.5.1.023 -Stub","622","1728","2007-08-15","2007-09-12","2007-09-12","0.5","363.0","262.2","20","1","",""
